# Volume (mL), Pressure (Bar)
2.499954763416666559e+00,2.346426992000000045e+00
2.499921430083333451e+00,2.353045967999999988e+00
2.499888096749999455e+00,2.346426992000000045e+00
2.499854763416666348e+00,2.344358562000000035e+00
2.499821430083333240e+00,2.346426992000000045e+00
2.499788096749999688e+00,2.344358562000000035e+00
2.499754763416666581e+00,2.346426992000000045e+00
2.499721430083333473e+00,2.344358562000000035e+00
2.499688096749999922e+00,2.344358562000000035e+00
2.499654763416666814e+00,2.342290132000000469e+00
2.499621430083332818e+00,2.346426992000000045e+00
2.499588096749999711e+00,2.353045967999999988e+00
2.499554763416666603e+00,2.346426992000000045e+00
2.499521430083333051e+00,2.346426992000000045e+00
2.499488096749999944e+00,2.346426992000000045e+00
2.499454763416666836e+00,2.344358562000000035e+00
2.499421430083333284e+00,2.344358562000000035e+00
2.499388096749999733e+00,2.346426992000000045e+00
2.499354763416666181e+00,2.346426992000000045e+00
2.499321430083333073e+00,2.344358562000000035e+00
2.499288096749999966e+00,2.344358562000000035e+00
2.499254763416666414e+00,2.346426992000000045e+00
2.499221430083333306e+00,2.346426992000000045e+00
2.499188096750000199e+00,2.348495422000000055e+00
2.499154763416666647e+00,2.346426992000000045e+00
2.499121430083333095e+00,2.344358562000000035e+00
2.499088096749999544e+00,2.346426992000000045e+00
2.499054763416666436e+00,2.346426992000000045e+00
2.499021430083333328e+00,2.344358562000000035e+00
2.498988096749999777e+00,2.346426992000000045e+00
2.498954763416666669e+00,2.344358562000000035e+00
2.498921430083333561e+00,2.346426992000000045e+00
2.498888096749999566e+00,2.348495422000000055e+00
2.498854763416666458e+00,2.348495422000000055e+00
2.498821430083332906e+00,2.353045967999999988e+00
2.498788096749999799e+00,2.350563852000000509e+00
2.498754763416666691e+00,2.350563852000000509e+00
2.498721430083333139e+00,2.346426992000000045e+00
2.498688096750000032e+00,2.346426992000000045e+00
2.498654763416666924e+00,2.344358562000000035e+00
2.498621430083332928e+00,2.344358562000000035e+00
2.498588096749999821e+00,2.346426992000000045e+00
2.498554763416666269e+00,2.346426992000000045e+00
2.498521430083333161e+00,2.346426992000000045e+00
2.498488096750000054e+00,2.355114397999999998e+00
2.498454763416666502e+00,2.353045967999999988e+00
2.498421430083333394e+00,2.348495422000000055e+00
2.498388096750000287e+00,2.346426992000000045e+00
2.498354763416666291e+00,2.348495422000000055e+00
2.498321430083333183e+00,2.344358562000000035e+00
2.498288096749999632e+00,2.344358562000000035e+00
2.498254763416666524e+00,2.350563852000000509e+00
2.498221430083333416e+00,2.346426992000000045e+00
2.498188096749999865e+00,2.346426992000000045e+00
2.498154763416666757e+00,2.348495422000000055e+00
2.498121430083332761e+00,2.355114397999999998e+00
2.498088096749999654e+00,2.346426992000000045e+00
2.498054763416666546e+00,2.346426992000000045e+00
2.498021430083332994e+00,2.346426992000000045e+00
2.497988096749999887e+00,2.346426992000000045e+00
2.497954763416666779e+00,2.344358562000000035e+00
2.497921430083333227e+00,2.346426992000000045e+00
2.497888096750000120e+00,2.346426992000000045e+00
2.497854763416666124e+00,2.346426992000000045e+00
2.497821430083333016e+00,2.346426992000000045e+00
2.497788096749999909e+00,2.348495422000000055e+00
2.497754763416666357e+00,2.353045967999999988e+00
2.497721430083333249e+00,2.346426992000000045e+00
2.497688096750000142e+00,2.355114397999999998e+00
2.497654763416666590e+00,2.348495422000000055e+00
2.497621430083333038e+00,2.348495422000000055e+00
2.497588096749999487e+00,2.353045967999999988e+00
2.497554763416666379e+00,2.353045967999999988e+00
2.497521430083333271e+00,2.346426992000000045e+00
2.497488096749999720e+00,2.348495422000000055e+00
2.497454763416666612e+00,2.346426992000000045e+00
2.497421430083333505e+00,2.353045967999999988e+00
2.497388096749999953e+00,2.348495422000000055e+00
2.497354763416666401e+00,2.346426992000000045e+00
2.497321430083332849e+00,2.350563852000000509e+00
2.497288096749999742e+00,2.346426992000000045e+00
2.497254763416666634e+00,2.353045967999999988e+00
2.497221430083333082e+00,2.346426992000000045e+00
2.497188096749999975e+00,2.353045967999999988e+00
2.497154763416666867e+00,2.346426992000000045e+00
2.497121430083333316e+00,2.353045967999999988e+00
2.497088096749999764e+00,2.350563852000000509e+00
2.497054763416666212e+00,2.353045967999999988e+00
2.497021430083333104e+00,2.346426992000000045e+00
2.496988096749999997e+00,2.353045967999999988e+00
2.496954763416666445e+00,2.353045967999999988e+00
2.496921430083333338e+00,2.350563852000000509e+00
2.496888096750000230e+00,2.346426992000000045e+00
2.496854763416666234e+00,2.353045967999999988e+00
2.496821430083333127e+00,2.348495422000000055e+00
2.496788096749999575e+00,2.355114397999999998e+00
2.496754763416666467e+00,2.353045967999999988e+00
2.496721430083333360e+00,2.353045967999999988e+00
2.496688096749999808e+00,2.348495422000000055e+00
2.496654763416666700e+00,2.353045967999999988e+00
2.496621430083333593e+00,2.353045967999999988e+00
2.496588096749999597e+00,2.346426992000000045e+00
2.496554763416666489e+00,2.355114397999999998e+00
2.496521430083332937e+00,2.348495422000000055e+00
2.496488096749999830e+00,2.353045967999999988e+00
2.496454763416666722e+00,2.353045967999999988e+00
2.496421430083333171e+00,2.353045967999999988e+00
2.496388096750000063e+00,2.353045967999999988e+00
2.496354763416666955e+00,2.355114397999999998e+00
2.496321430083332960e+00,2.348495422000000055e+00
2.496288096749999852e+00,2.353045967999999988e+00
2.496254763416666300e+00,2.353045967999999988e+00
2.496221430083333193e+00,2.353045967999999988e+00
2.496188096750000085e+00,2.353045967999999988e+00
2.496154763416666533e+00,2.353045967999999988e+00
2.496121430083333426e+00,2.353045967999999988e+00
2.496088096749999430e+00,2.355114397999999998e+00
2.496054763416666322e+00,2.350563852000000509e+00
2.496021430083333215e+00,2.355114397999999998e+00
2.495988096749999663e+00,2.357182828000000452e+00
2.495954763416666555e+00,2.353045967999999988e+00
2.495921430083333448e+00,2.353045967999999988e+00
2.495888096749999896e+00,2.355114397999999998e+00
2.495854763416666788e+00,2.353045967999999988e+00
2.495821430083332793e+00,2.355114397999999998e+00
2.495788096749999685e+00,2.353045967999999988e+00
2.495754763416666577e+00,2.348495422000000055e+00
2.495721430083333026e+00,2.355114397999999998e+00
2.495688096749999918e+00,2.357182828000000452e+00
2.495654763416666810e+00,2.355114397999999998e+00
2.495621430083333259e+00,2.355114397999999998e+00
2.495588096749999707e+00,2.350563852000000509e+00
2.495554763416666155e+00,2.353045967999999988e+00
2.495521430083333048e+00,2.353045967999999988e+00
2.495488096749999940e+00,2.353045967999999988e+00
2.495454763416666388e+00,2.355114397999999998e+00
2.495421430083333281e+00,2.355114397999999998e+00
2.495388096750000173e+00,2.355114397999999998e+00
2.495354763416666621e+00,2.353045967999999988e+00
2.495321430083333070e+00,2.353045967999999988e+00
2.495288096749999518e+00,2.353045967999999988e+00
2.495254763416666410e+00,2.355114397999999998e+00
2.495221430083333303e+00,2.355114397999999998e+00
2.495188096749999751e+00,2.353045967999999988e+00
2.495154763416666643e+00,2.357182828000000452e+00
2.495121430083333536e+00,2.353045967999999988e+00
2.495088096749999984e+00,2.348495422000000055e+00
2.495054763416666432e+00,2.355114397999999998e+00
2.495021430083332881e+00,2.355114397999999998e+00
2.494988096749999773e+00,2.355114397999999998e+00
2.494954763416666665e+00,2.355114397999999998e+00
2.494921430083333114e+00,2.353045967999999988e+00
2.494888096750000006e+00,2.353045967999999988e+00
2.494854763416666898e+00,2.355114397999999998e+00
2.494821430083332903e+00,2.355114397999999998e+00
2.494788096749999795e+00,2.355114397999999998e+00
2.494754763416666243e+00,2.355114397999999998e+00
2.494721430083333136e+00,2.359251258000000462e+00
2.494688096750000028e+00,2.357182828000000452e+00
2.494654763416666476e+00,2.353045967999999988e+00
2.494621430083333369e+00,2.355114397999999998e+00
2.494588096750000261e+00,2.350563852000000509e+00
2.494554763416666265e+00,2.357182828000000452e+00
2.494521430083333158e+00,2.355114397999999998e+00
2.494488096749999606e+00,2.355114397999999998e+00
2.494454763416666498e+00,2.355114397999999998e+00
2.494421430083333391e+00,2.355114397999999998e+00
2.494388096749999839e+00,2.355114397999999998e+00
2.494354763416666732e+00,2.355114397999999998e+00
2.494321430083333624e+00,2.355114397999999998e+00
2.494288096749999628e+00,2.357182828000000452e+00
2.494254763416666520e+00,2.353045967999999988e+00
2.494221430083332969e+00,2.355114397999999998e+00
2.494188096749999861e+00,2.353045967999999988e+00
2.494154763416666754e+00,2.355114397999999998e+00
2.494121430083333202e+00,2.355114397999999998e+00
2.494088096750000094e+00,2.353045967999999988e+00
2.494054763416666098e+00,2.355114397999999998e+00
2.494021430083332991e+00,2.355114397999999998e+00
2.493988096749999883e+00,2.355114397999999998e+00
2.493954763416666331e+00,2.355114397999999998e+00
2.493921430083333224e+00,2.355114397999999998e+00
2.493888096750000116e+00,2.355114397999999998e+00
2.493854763416666565e+00,2.355114397999999998e+00
2.493821430083333457e+00,2.355114397999999998e+00
2.493788096749999461e+00,2.355114397999999998e+00
2.493754763416666353e+00,2.353045967999999988e+00
2.493721430083333246e+00,2.361319688000000472e+00
2.493688096749999694e+00,2.355114397999999998e+00
2.493654763416666587e+00,2.355114397999999998e+00
2.493621430083333479e+00,2.359251258000000462e+00
2.493588096749999927e+00,2.359251258000000462e+00
2.493554763416666376e+00,2.355114397999999998e+00
2.493521430083332824e+00,2.353045967999999988e+00
2.493488096749999716e+00,2.353045967999999988e+00
2.493454763416666609e+00,2.355114397999999998e+00
2.493421430083333057e+00,2.353045967999999988e+00
2.493388096749999949e+00,2.353045967999999988e+00
2.493354763416666842e+00,2.355114397999999998e+00
2.493321430083333290e+00,2.353045967999999988e+00
2.493288096749999738e+00,2.353045967999999988e+00
2.493254763416666187e+00,2.355114397999999998e+00
2.493221430083333079e+00,2.353045967999999988e+00
2.493188096749999971e+00,2.355114397999999998e+00
2.493154763416666420e+00,2.357182828000000452e+00
2.493121430083333312e+00,2.355114397999999998e+00
2.493088096750000204e+00,2.361319688000000472e+00
2.493054763416666653e+00,2.355114397999999998e+00
2.493021430083333101e+00,2.355114397999999998e+00
2.492988096749999549e+00,2.355114397999999998e+00
2.492954763416666442e+00,2.355114397999999998e+00
2.492921430083333334e+00,2.355114397999999998e+00
2.492888096749999782e+00,2.361319688000000472e+00
2.492854763416666675e+00,2.359251258000000462e+00
2.492821430083333567e+00,2.355114397999999998e+00
2.492788096749999571e+00,2.355114397999999998e+00
2.492754763416666464e+00,2.355114397999999998e+00
2.492721430083332912e+00,2.357182828000000452e+00
2.492688096749999804e+00,2.355114397999999998e+00
2.492654763416666697e+00,2.355114397999999998e+00
2.492621430083333145e+00,2.361319688000000472e+00
2.492588096750000037e+00,2.361319688000000472e+00
2.492554763416666930e+00,2.355114397999999998e+00
2.492521430083332934e+00,2.357182828000000452e+00
2.492488096749999826e+00,2.359251258000000462e+00
2.492454763416666275e+00,2.355114397999999998e+00
2.492421430083333167e+00,2.355114397999999998e+00
