# Volume (mL), Pressure (Bar)
2.143008333333333332e-05,-3.723174000000000101e-03
5.476341666666666147e-05,-3.723174000000000101e-03
8.809675000000000318e-05,-3.723174000000000101e-03
1.214300833333333246e-04,-3.723174000000000101e-03
1.547634166666666459e-04,-3.723174000000000101e-03
1.880967499999999944e-04,-3.723174000000000101e-03
2.214300833333333158e-04,-3.723174000000000101e-03
2.547634166666666372e-04,-3.723174000000000101e-03
2.880967499999999857e-04,-5.791604000000000543e-03
3.214300833333333341e-04,-3.723174000000000101e-03
3.547634166666666284e-04,-1.654744000000000310e-03
3.880967499999999769e-04,-3.723174000000000101e-03
4.214300833333333254e-04,-1.654744000000000310e-03
4.547634166666666739e-04,-5.791604000000000543e-03
4.880967499999999681e-04,-3.723174000000000101e-03
5.214300833333333166e-04,-3.723174000000000101e-03
5.547634166666666651e-04,-1.654744000000000310e-03
5.880967500000000136e-04,-3.723174000000000101e-03
6.214300833333333621e-04,-3.723174000000000101e-03
6.547634166666666021e-04,-1.654744000000000310e-03
6.880967500000000590e-04,-3.723174000000000101e-03
7.214300833333332991e-04,-3.723174000000000101e-03
7.547634166666665392e-04,-3.723174000000000101e-03
7.880967499999999961e-04,2.482116000000000357e-03
8.214300833333332361e-04,4.136860000000000775e-04
8.547634166666666930e-04,4.550545999999999931e-03
8.880967499999999331e-04,4.136860000000000775e-04
9.214300833333332816e-04,-1.654744000000000310e-03
9.547634166666666301e-04,2.482116000000000357e-03
9.880967499999999785e-04,-5.791604000000000543e-03
1.021430083333333327e-03,4.136860000000000775e-04
1.054763416666666676e-03,-3.723174000000000101e-03
1.088096749999999807e-03,2.482116000000000357e-03
1.121430083333333372e-03,-3.723174000000000101e-03
1.154763416666666504e-03,-3.723174000000000101e-03
1.188096750000000069e-03,2.482116000000000357e-03
1.221430083333333201e-03,2.482116000000000357e-03
1.254763416666666550e-03,4.550545999999999931e-03
1.288096749999999898e-03,-3.723174000000000101e-03
1.321430083333333463e-03,-3.723174000000000101e-03
1.354763416666666595e-03,-3.723174000000000101e-03
1.388096749999999944e-03,-3.723174000000000101e-03
1.421430083333333292e-03,-3.723174000000000101e-03
1.454763416666666424e-03,-3.723174000000000101e-03
1.488096749999999989e-03,-3.723174000000000101e-03
1.521430083333333337e-03,-3.723174000000000101e-03
1.554763416666666469e-03,-3.723174000000000101e-03
1.588096749999999818e-03,-3.723174000000000101e-03
1.621430083333333383e-03,4.136860000000000775e-04
1.654763416666666731e-03,-3.723174000000000101e-03
1.688096749999999863e-03,-3.723174000000000101e-03
1.721430083333333211e-03,-3.723174000000000101e-03
1.754763416666666777e-03,-3.723174000000000101e-03
1.788096749999999908e-03,-3.723174000000000101e-03
1.821430083333333257e-03,2.482116000000000357e-03
1.854763416666666605e-03,-5.791604000000000543e-03
1.888096749999999737e-03,2.482116000000000357e-03
1.921430083333333302e-03,-3.723174000000000101e-03
1.954763416666666434e-03,2.482116000000000357e-03
1.988096749999999999e-03,-3.723174000000000101e-03
2.021430083333333131e-03,-3.723174000000000101e-03
2.054763416666666696e-03,-1.654744000000000310e-03
2.088096749999999828e-03,-1.654744000000000310e-03
2.121430083333332960e-03,-3.723174000000000101e-03
2.154763416666666525e-03,4.550545999999999931e-03
2.188096750000000090e-03,-3.723174000000000101e-03
2.221430083333333222e-03,-1.654744000000000310e-03
2.254763416666666354e-03,-1.654744000000000310e-03
2.288096749999999919e-03,-3.723174000000000101e-03
2.321430083333333051e-03,-3.723174000000000101e-03
2.354763416666666616e-03,-1.654744000000000310e-03
2.388096749999999747e-03,-3.723174000000000101e-03
2.421430083333333313e-03,4.136860000000000775e-04
2.454763416666666444e-03,-3.723174000000000101e-03
2.488096750000000010e-03,2.482116000000000357e-03
2.521430083333333141e-03,4.136860000000000775e-04
2.554763416666666273e-03,2.482116000000000357e-03
2.588096749999999838e-03,-3.723174000000000101e-03
2.621430083333332970e-03,-3.723174000000000101e-03
2.654763416666666535e-03,-5.791604000000000543e-03
2.688096749999999667e-03,-1.654744000000000310e-03
2.721430083333332799e-03,-1.654744000000000310e-03
2.754763416666666798e-03,2.482116000000000357e-03
2.788096749999999929e-03,-1.654744000000000310e-03
2.821430083333333061e-03,-1.654744000000000310e-03
2.854763416666666626e-03,-3.723174000000000101e-03
2.888096749999999758e-03,-3.723174000000000101e-03
2.921430083333333323e-03,-1.654744000000000310e-03
2.954763416666666455e-03,-3.723174000000000101e-03
2.988096749999999587e-03,-3.723174000000000101e-03
3.021430083333333586e-03,2.482116000000000357e-03
3.054763416666666717e-03,-3.723174000000000101e-03
3.088096749999999849e-03,-3.723174000000000101e-03
3.121430083333333414e-03,-3.723174000000000101e-03
3.154763416666666546e-03,-3.723174000000000101e-03
3.188096749999999677e-03,-3.723174000000000101e-03
3.221430083333333243e-03,-1.654744000000000310e-03
3.254763416666666374e-03,2.482116000000000357e-03
3.288096749999999506e-03,-3.723174000000000101e-03
3.321430083333333505e-03,-3.723174000000000101e-03
3.354763416666666637e-03,2.482116000000000357e-03
3.388096749999999768e-03,-3.723174000000000101e-03
3.421430083333333334e-03,-3.723174000000000101e-03
3.454763416666666465e-03,-3.723174000000000101e-03
3.488096749999999597e-03,-3.723174000000000101e-03
3.521430083333333162e-03,-5.791604000000000543e-03
3.554763416666666294e-03,-3.723174000000000101e-03
3.588096749999999426e-03,-3.723174000000000101e-03
3.621430083333333425e-03,-3.723174000000000101e-03
3.654763416666666556e-03,-3.723174000000000101e-03
3.688096750000000121e-03,-3.723174000000000101e-03
3.721430083333333253e-03,-3.723174000000000101e-03
3.754763416666666385e-03,-3.723174000000000101e-03
3.788096749999999950e-03,2.482116000000000357e-03
3.821430083333333082e-03,-3.723174000000000101e-03
3.854763416666666213e-03,-1.654744000000000310e-03
3.888096750000000212e-03,-3.723174000000000101e-03
3.921430083333333344e-03,-3.723174000000000101e-03
3.954763416666666476e-03,-3.723174000000000101e-03
3.988096749999999607e-03,-3.723174000000000101e-03
4.021430083333332739e-03,2.482116000000000357e-03
4.054763416666665871e-03,4.550545999999999931e-03
4.088096749999999870e-03,2.482116000000000357e-03
4.121430083333333001e-03,-3.723174000000000101e-03
4.154763416666666133e-03,-3.723174000000000101e-03
4.188096750000000132e-03,4.550545999999999931e-03
4.221430083333333264e-03,4.136860000000000775e-04
4.254763416666666395e-03,-3.723174000000000101e-03
4.288096749999999527e-03,-1.654744000000000310e-03
4.321430083333332658e-03,-3.723174000000000101e-03
4.354763416666666657e-03,-3.723174000000000101e-03
4.388096749999999789e-03,-3.723174000000000101e-03
4.421430083333332921e-03,-3.723174000000000101e-03
4.454763416666666920e-03,-3.723174000000000101e-03
4.488096750000000051e-03,-3.723174000000000101e-03
4.521430083333333183e-03,-3.723174000000000101e-03
4.554763416666666315e-03,-3.723174000000000101e-03
4.588096749999999446e-03,-3.723174000000000101e-03
4.621430083333332578e-03,-3.723174000000000101e-03
4.654763416666666577e-03,-3.723174000000000101e-03
4.688096749999999709e-03,-3.723174000000000101e-03
4.721430083333332840e-03,-1.654744000000000310e-03
4.754763416666666839e-03,-3.723174000000000101e-03
4.788096749999999971e-03,2.482116000000000357e-03
4.821430083333333103e-03,2.482116000000000357e-03
