# Volume (mL), Pressure (Bar)
1.618026531399529904e-03,-3.723174000000000101e-03
1.651359864732863253e-03,-3.723174000000000101e-03
1.684693198066196601e-03,-3.723174000000000101e-03
1.718026531399529950e-03,-3.723174000000000101e-03
1.751359864732863298e-03,-3.723174000000000101e-03
1.784693198066196647e-03,-3.723174000000000101e-03
1.818026531399529995e-03,-3.723174000000000101e-03
1.851359864732863344e-03,-3.723174000000000101e-03
2.772456370803554494e-03,-5.791604000000000543e-03
1.918026531399530041e-03,-3.723174000000000101e-03
1.063842486889933709e-03,-1.654744000000000310e-03
1.984693198066196738e-03,-3.723174000000000101e-03
1.130509153556600406e-03,-1.654744000000000310e-03
2.939123037470221453e-03,-5.791604000000000543e-03
2.084693198066196566e-03,-3.723174000000000101e-03
2.118026531399529698e-03,-3.723174000000000101e-03
1.263842486889933800e-03,-1.654744000000000310e-03
2.184693198066196829e-03,-3.723174000000000101e-03
2.218026531399529960e-03,-3.723174000000000101e-03
1.363842486889933845e-03,-1.654744000000000310e-03
2.284693198066196657e-03,-3.723174000000000101e-03
2.318026531399529789e-03,-3.723174000000000101e-03
2.351359864732863354e-03,-3.723174000000000101e-03
-2.771223463433070957e-04,2.482116000000000357e-03
6.432373716579051432e-04,4.136860000000000775e-04
-1.097236865590626217e-03,4.550545999999999931e-03
7.099040383245718401e-04,4.136860000000000775e-04
1.630509153556600416e-03,-1.654744000000000310e-03
-1.104556796766404617e-04,2.482116000000000357e-03
3.472456370803554595e-03,-5.791604000000000543e-03
8.432373716579052341e-04,4.136860000000000775e-04
2.651359864732863274e-03,-3.723174000000000101e-03
2.287765365669271536e-05,2.482116000000000357e-03
2.718026531399529971e-03,-3.723174000000000101e-03
2.751359864732863102e-03,-3.723174000000000101e-03
1.228776536566929777e-04,2.482116000000000357e-03
1.562109869900261093e-04,2.482116000000000357e-03
-6.972368655906264687e-04,4.550545999999999931e-03
2.884693198066196496e-03,-3.723174000000000101e-03
2.918026531399530062e-03,-3.723174000000000101e-03
2.951359864732863193e-03,-3.723174000000000101e-03
2.984693198066196325e-03,-3.723174000000000101e-03
3.018026531399529890e-03,-3.723174000000000101e-03
3.051359864732863022e-03,-3.723174000000000101e-03
3.084693198066196587e-03,-3.723174000000000101e-03
3.118026531399529719e-03,-3.723174000000000101e-03
3.151359864732862850e-03,-3.723174000000000101e-03
3.184693198066196416e-03,-3.723174000000000101e-03
1.443237371657905398e-03,4.136860000000000775e-04
3.251359864732863113e-03,-3.723174000000000101e-03
3.284693198066196244e-03,-3.723174000000000101e-03
3.318026531399529810e-03,-3.723174000000000101e-03
3.351359864732863375e-03,-3.723174000000000101e-03
3.384693198066196507e-03,-3.723174000000000101e-03
7.562109869900261652e-04,2.482116000000000357e-03
4.339123037470221655e-03,-5.791604000000000543e-03
8.228776536566926453e-04,2.482116000000000357e-03
3.518026531399529901e-03,-3.723174000000000101e-03
8.895443203233593422e-04,2.482116000000000357e-03
3.584693198066196598e-03,-3.723174000000000101e-03
3.618026531399529729e-03,-3.723174000000000101e-03
2.763842486889933614e-03,-1.654744000000000310e-03
2.797175820223266746e-03,-1.654744000000000310e-03
3.718026531399529558e-03,-3.723174000000000101e-03
2.027631344093735067e-04,4.550545999999999931e-03
3.784693198066196689e-03,-3.723174000000000101e-03
2.930509153556600140e-03,-1.654744000000000310e-03
2.963842486889933271e-03,-1.654744000000000310e-03
3.884693198066196517e-03,-3.723174000000000101e-03
3.918026531399530082e-03,-3.723174000000000101e-03
3.063842486889933533e-03,-1.654744000000000310e-03
