# Volume (mL), Pressure (Bar)
1.615651301994968536e+00,2.346426992000000045e+00
1.613394082854327172e+00,2.353045967999999988e+00
1.615584635328301433e+00,2.346426992000000045e+00
1.616246514643622234e+00,2.344358562000000035e+00
1.615517968661635217e+00,2.346426992000000045e+00
1.616179847976955575e+00,2.344358562000000035e+00
1.615451301994968558e+00,2.346426992000000045e+00
1.616113181310289360e+00,2.344358562000000035e+00
1.616079847976955808e+00,2.344358562000000035e+00
1.616741845651550769e+00,2.342290132000000469e+00
1.615317968661634795e+00,2.346426992000000045e+00
1.613060749520993431e+00,2.353045967999999988e+00
1.615251301994968580e+00,2.346426992000000045e+00
1.615217968661635028e+00,2.346426992000000045e+00
1.615184635328301921e+00,2.346426992000000045e+00
1.615846514643622722e+00,2.344358562000000035e+00
1.615813181310289171e+00,2.344358562000000035e+00
1.615084635328301710e+00,2.346426992000000045e+00
1.615051301994968158e+00,2.346426992000000045e+00
1.615713181310288959e+00,2.344358562000000035e+00
1.615679847976955852e+00,2.344358562000000035e+00
1.614951301994968391e+00,2.346426992000000045e+00
1.614917968661635284e+00,2.346426992000000045e+00
1.614189540978288262e+00,2.348495422000000055e+00
1.614851301994968624e+00,2.346426992000000045e+00
1.615513181310288982e+00,2.344358562000000035e+00
1.614784635328301521e+00,2.346426992000000045e+00
1.614751301994968413e+00,2.346426992000000045e+00
1.615413181310289215e+00,2.344358562000000035e+00
1.614684635328301754e+00,2.346426992000000045e+00
1.615346514643622555e+00,2.344358562000000035e+00
1.614617968661635539e+00,2.346426992000000045e+00
1.613889540978287629e+00,2.348495422000000055e+00
1.613856207644954521e+00,2.348495422000000055e+00
1.612294082854326627e+00,2.353045967999999988e+00
1.613094564866331293e+00,2.350563852000000509e+00
1.613061231532998185e+00,2.350563852000000509e+00
1.614417968661635117e+00,2.346426992000000045e+00
1.614384635328302009e+00,2.346426992000000045e+00
1.615046514643622810e+00,2.344358562000000035e+00
1.615013181310288815e+00,2.344358562000000035e+00
1.614284635328301798e+00,2.346426992000000045e+00
1.614251301994968246e+00,2.346426992000000045e+00
1.614217968661635139e+00,2.346426992000000045e+00
1.611266033319761704e+00,2.355114397999999998e+00
1.611927416187660222e+00,2.353045967999999988e+00
1.613422874311621458e+00,2.348495422000000055e+00
1.614084635328302264e+00,2.346426992000000045e+00
1.613356207644954354e+00,2.348495422000000055e+00
1.614713181310289070e+00,2.344358562000000035e+00
1.614679847976955518e+00,2.344358562000000035e+00
1.612561231532998018e+00,2.350563852000000509e+00
1.613917968661635394e+00,2.346426992000000045e+00
1.613884635328301842e+00,2.346426992000000045e+00
1.613156207644954820e+00,2.348495422000000055e+00
1.610899366653094411e+00,2.355114397999999998e+00
1.613784635328301631e+00,2.346426992000000045e+00
1.613751301994968523e+00,2.346426992000000045e+00
1.613717968661634972e+00,2.346426992000000045e+00
1.613684635328301864e+00,2.346426992000000045e+00
1.614346514643622665e+00,2.344358562000000035e+00
1.613617968661635205e+00,2.346426992000000045e+00
1.613584635328302097e+00,2.346426992000000045e+00
1.613551301994968101e+00,2.346426992000000045e+00
1.613517968661634994e+00,2.346426992000000045e+00
1.612789540978287972e+00,2.348495422000000055e+00
1.611227416187660078e+00,2.353045967999999988e+00
1.613417968661635227e+00,2.346426992000000045e+00
1.610466033319761792e+00,2.355114397999999998e+00
1.612656207644954653e+00,2.348495422000000055e+00
1.612622874311621102e+00,2.348495422000000055e+00
1.611060749520993207e+00,2.353045967999999988e+00
1.611027416187660100e+00,2.353045967999999988e+00
1.613217968661635249e+00,2.346426992000000045e+00
1.612489540978287783e+00,2.348495422000000055e+00
1.613151301994968589e+00,2.346426992000000045e+00
1.610894082854327225e+00,2.353045967999999988e+00
1.612389540978288016e+00,2.348495422000000055e+00
1.613051301994968378e+00,2.346426992000000045e+00
1.611627898199664344e+00,2.350563852000000509e+00
1.612984635328301719e+00,2.346426992000000045e+00
1.610727416187660355e+00,2.353045967999999988e+00
1.612917968661635060e+00,2.346426992000000045e+00
1.610660749520993695e+00,2.353045967999999988e+00
1.612851301994968845e+00,2.346426992000000045e+00
1.610594082854327036e+00,2.353045967999999988e+00
1.611394564866331258e+00,2.350563852000000509e+00
1.610527416187659933e+00,2.353045967999999988e+00
1.612717968661635082e+00,2.346426992000000045e+00
1.610460749520993717e+00,2.353045967999999988e+00
1.610427416187660166e+00,2.353045967999999988e+00
1.611227898199664832e+00,2.350563852000000509e+00
1.612584635328302207e+00,2.346426992000000045e+00
