# Volume injected (mL),pressure (bar)
2.106452290083332901e+00,1.769748708000000059e+00
2.106418956749999793e+00,1.769748708000000059e+00
2.106385623416666242e+00,1.769748708000000059e+00
2.106352290083333134e+00,1.761061302000000106e+00
2.106318956750000027e+00,1.765198162000000348e+00
2.106285623416666475e+00,1.769748708000000059e+00
2.106252290083333367e+00,1.767266592000000358e+00
2.106218956750000260e+00,1.763129732000000116e+00
2.106185623416666264e+00,1.765198162000000348e+00
2.106152290083333156e+00,1.765198162000000348e+00
2.106118956749999604e+00,1.767266592000000358e+00
2.106085623416666497e+00,1.767266592000000358e+00
2.106052290083333389e+00,1.761061302000000106e+00
2.106018956749999838e+00,1.767266592000000358e+00
2.105985623416666730e+00,1.761061302000000106e+00
2.105952290083333622e+00,1.767266592000000358e+00
2.105918956749999627e+00,1.769748708000000059e+00
2.105885623416666519e+00,1.769748708000000059e+00
2.105852290083332967e+00,1.761061302000000106e+00
2.105818956749999860e+00,1.767266592000000358e+00
2.105785623416666752e+00,1.767266592000000358e+00
2.105752290083333200e+00,1.769748708000000059e+00
2.105718956750000093e+00,1.769748708000000059e+00
2.105685623416666097e+00,1.763129732000000116e+00
2.105652290083332989e+00,1.769748708000000059e+00
2.105618956749999882e+00,1.765198162000000348e+00
2.105585623416666330e+00,1.769748708000000059e+00
2.105552290083333222e+00,1.769748708000000059e+00
2.105518956750000115e+00,1.761061302000000106e+00
2.105485623416666563e+00,1.763129732000000116e+00
2.105452290083333455e+00,1.763129732000000116e+00
2.105418956749999460e+00,1.767266592000000358e+00
2.105385623416666352e+00,1.763129732000000116e+00
2.105352290083333244e+00,1.761061302000000106e+00
2.105318956749999693e+00,1.761061302000000106e+00
2.105285623416666585e+00,1.758992872000000096e+00
2.105252290083333477e+00,1.767266592000000358e+00
2.105218956749999926e+00,1.767266592000000358e+00
2.105185623416666374e+00,1.769748708000000059e+00
2.105152290083332822e+00,1.767266592000000358e+00
2.105118956749999715e+00,1.761061302000000106e+00
2.105085623416666607e+00,1.765198162000000348e+00
2.105052290083333055e+00,1.761061302000000106e+00
2.105018956749999948e+00,1.761061302000000106e+00
2.104985623416666840e+00,1.761061302000000106e+00
2.104952290083333288e+00,1.769748708000000059e+00
2.104918956749999737e+00,1.765198162000000348e+00
2.104885623416666185e+00,1.761061302000000106e+00
2.104852290083333077e+00,1.767266592000000358e+00
2.104818956749999970e+00,1.761061302000000106e+00
2.104785623416666418e+00,1.761061302000000106e+00
