# Volume [mL],Pressure [Bar]
2.396618935750000290e+00,1.161213794999999926e+01
2.396585602416666294e+00,1.161213794999999926e+01
2.396552269083333186e+00,1.161903270000000177e+01
2.396518935749999635e+00,1.159696950000000193e+01
2.396485602416666527e+00,1.159696950000000193e+01
2.396452269083333420e+00,1.161903270000000177e+01
2.396418935749999868e+00,1.156249575000000007e+01
2.396385602416666760e+00,1.160524320000000209e+01
2.396352269083332764e+00,1.165350645000000185e+01
2.396318935749999657e+00,1.162592745000000072e+01
2.396285602416666549e+00,1.168246440000000064e+01
2.396252269083332997e+00,1.154043255000000023e+01
2.396218935749999890e+00,1.161213794999999926e+01
2.396185602416666782e+00,1.151974829999999983e+01
2.396152269083333231e+00,1.161213794999999926e+01
2.396118935750000123e+00,1.162592745000000072e+01
2.396085602416666127e+00,1.159696950000000193e+01
2.396052269083333019e+00,1.156249575000000007e+01
2.396018935749999912e+00,1.156939050000000258e+01
2.395985602416666360e+00,1.160524320000000209e+01
2.395952269083333253e+00,1.166867490000000096e+01
2.395918935750000145e+00,1.153353780000000128e+01
2.395885602416666593e+00,1.161903270000000177e+01
2.395852269083333042e+00,1.154043255000000023e+01
2.395818935749999490e+00,1.161213794999999926e+01
2.395785602416666382e+00,1.155560100000000290e+01
2.395752269083333275e+00,1.162592745000000072e+01
2.395718935749999723e+00,1.159696950000000193e+01
2.395685602416666615e+00,1.157628524999999975e+01
2.395652269083333508e+00,1.154043255000000023e+01
2.395618935749999956e+00,1.165350645000000185e+01
2.395585602416666404e+00,1.152664305000000056e+01
2.395552269083332853e+00,1.163971695000000217e+01
2.395518935749999745e+00,1.164661170000000112e+01
2.395485602416666637e+00,1.166178015000000201e+01
2.395452269083333086e+00,1.169625390000000031e+01
2.395418935749999978e+00,1.151285355000000088e+01
2.395385602416666870e+00,1.163282220000000144e+01
2.395352269083333319e+00,1.161903270000000177e+01
2.395318935749999767e+00,1.166178015000000201e+01
2.395285602416666215e+00,1.156939050000000258e+01
2.395252269083333108e+00,1.161903270000000177e+01
2.395218935750000000e+00,1.161213794999999926e+01
2.395185602416666448e+00,1.156249575000000007e+01
2.395152269083333341e+00,1.162592745000000072e+01
2.395118935750000233e+00,1.151974829999999983e+01
2.395085602416666237e+00,1.162592745000000072e+01
2.395052269083333130e+00,1.160524320000000209e+01
2.395018935749999578e+00,1.161213794999999926e+01
2.394985602416666470e+00,1.161213794999999926e+01
2.394952269083333363e+00,1.156939050000000258e+01
2.394918935749999811e+00,1.163971695000000217e+01
2.394885602416666703e+00,1.163971695000000217e+01
2.394852269083333596e+00,1.163282220000000144e+01
2.394818935749999600e+00,1.164661170000000112e+01
2.394785602416666492e+00,1.168246440000000064e+01
2.394752269083332941e+00,1.161903270000000177e+01
2.394718935749999833e+00,1.160524320000000209e+01
2.394685602416666725e+00,1.161213794999999926e+01
2.394652269083333174e+00,1.163971695000000217e+01
2.394618935750000066e+00,1.164661170000000112e+01
2.394585602416666958e+00,1.159007474999999943e+01
2.394552269083332963e+00,1.159696950000000193e+01
2.394518935749999855e+00,1.163282220000000144e+01
2.394485602416666303e+00,1.155560100000000290e+01
2.394452269083333196e+00,1.157628524999999975e+01
2.394418935750000088e+00,1.163282220000000144e+01
2.394385602416666536e+00,1.156249575000000007e+01
2.394352269083333429e+00,1.165350645000000185e+01
2.394318935749999433e+00,1.164661170000000112e+01
2.394285602416666325e+00,1.163971695000000217e+01
2.394252269083333218e+00,1.162592745000000072e+01
2.394218935749999666e+00,1.161213794999999926e+01
2.394185602416666558e+00,1.157628524999999975e+01
2.394152269083333451e+00,1.155560100000000290e+01
2.394118935749999899e+00,1.166178015000000201e+01
2.394085602416666791e+00,1.159007474999999943e+01
2.394052269083332796e+00,1.163971695000000217e+01
2.394018935749999688e+00,1.162592745000000072e+01
2.393985602416666580e+00,1.161903270000000177e+01
2.393952269083333029e+00,1.161903270000000177e+01
2.393918935749999921e+00,1.156939050000000258e+01
2.393885602416666813e+00,1.159007474999999943e+01
2.393852269083333262e+00,1.161903270000000177e+01
2.393818935749999710e+00,1.163282220000000144e+01
2.393785602416666158e+00,1.162592745000000072e+01
2.393752269083333051e+00,1.167556965000000169e+01
2.393718935749999943e+00,1.161213794999999926e+01
2.393685602416666391e+00,1.156249575000000007e+01
2.393652269083333284e+00,1.158318000000000225e+01
2.393618935750000176e+00,1.166178015000000201e+01
2.393585602416666624e+00,1.163282220000000144e+01
2.393552269083333073e+00,1.163282220000000144e+01
2.393518935749999521e+00,1.169625390000000031e+01
2.393485602416666413e+00,1.156939050000000258e+01
2.393452269083333306e+00,1.155560100000000290e+01
2.393418935749999754e+00,1.155560100000000290e+01
2.393385602416666647e+00,1.164661170000000112e+01
