# Volume [mL],Pressure [Bar]
1.065049999999999908e-05,-5.212431000000000703e-01
4.398383333333333062e-05,-5.570958000000000299e-01
7.731716666666666555e-05,-5.502010500000000803e-01
1.106504999999999869e-04,-4.509166500000000299e-01
1.439838333333333083e-04,-4.081692000000000098e-01
1.773171666666666568e-04,-2.950953000000000048e-01
2.106505000000000053e-04,-2.454531000000000074e-01
2.439838333333332995e-04,-2.178741000000000150e-01
2.773171666666666480e-04,-2.109793500000000099e-01
3.106504999999999965e-04,-2.882005499999999998e-01
3.439838333333333450e-04,-2.882005499999999998e-01
3.773171666666666393e-04,-3.309480000000000199e-01
4.106504999999999878e-04,-3.240532500000000149e-01
4.439838333333333362e-04,-3.516322500000000351e-01
4.773171666666666847e-04,-3.736954500000000401e-01
5.106505000000000332e-04,-4.150639500000000148e-01
5.439838333333332733e-04,-5.143483500000000097e-01
5.773171666666666218e-04,-4.798745999999999845e-01
6.106504999999999702e-04,-5.143483500000000097e-01
6.439838333333333187e-04,-4.647061500000000955e-01
6.773171666666665588e-04,-4.647061500000000955e-01
7.106505000000000157e-04,-4.647061500000000955e-01
7.439838333333332557e-04,-4.578114000000000905e-01
7.773171666666666042e-04,-4.578114000000000905e-01
8.106504999999999527e-04,-3.447375000000000300e-01
8.439838333333333012e-04,-2.454531000000000074e-01
8.773171666666666497e-04,-2.813057999999999947e-01
9.106504999999999982e-04,-1.820214000000000276e-01
9.439838333333332382e-04,-1.682319000000000175e-01
9.773171666666666951e-04,-1.254844499999999974e-01
1.010650499999999827e-03,-1.613371500000000125e-01
1.043983833333333392e-03,-1.958109000000000099e-01
1.077317166666666524e-03,-2.040846000000000049e-01
1.110650499999999872e-03,-2.040846000000000049e-01
1.143983833333333221e-03,-2.523478500000000402e-01
1.177317166666666569e-03,-2.744110500000000452e-01
1.210650499999999918e-03,-3.102637500000000603e-01
1.243983833333333266e-03,-4.150639500000000148e-01
1.277317166666666615e-03,-3.805902000000000451e-01
1.310650499999999963e-03,-4.440219000000000249e-01
1.343983833333333312e-03,-3.736954500000000401e-01
1.377317166666666443e-03,-4.233376500000000098e-01
1.410650500000000009e-03,-4.302324000000000148e-01
1.443983833333333357e-03,-4.150639500000000148e-01
1.477317166666666489e-03,-4.150639500000000148e-01
1.510650499999999837e-03,-2.813057999999999947e-01
1.543983833333333403e-03,-2.178741000000000150e-01
1.577317166666666534e-03,-1.682319000000000175e-01
1.610650499999999883e-03,-1.682319000000000175e-01
1.643983833333333231e-03,-1.048002000000000100e-01
1.677317166666666796e-03,-9.101070000000001381e-02
1.710650499999999928e-03,-1.185897000000000062e-01
1.743983833333333277e-03,-1.392739500000000075e-01
1.777317166666666625e-03,-1.544424000000000075e-01
1.810650499999999757e-03,-2.040846000000000049e-01
1.843983833333333322e-03,-2.247688500000000200e-01
1.877317166666666670e-03,-2.316636000000000251e-01
1.910650499999999802e-03,-2.675163000000000402e-01
1.943983833333333151e-03,-3.668007000000000351e-01
1.977317166666666716e-03,-3.585270000000000401e-01
2.010650499999999848e-03,-3.585270000000000401e-01
2.043983833333332979e-03,-3.240532500000000149e-01
2.077317166666666545e-03,-3.240532500000000149e-01
2.110650500000000110e-03,-3.585270000000000401e-01
2.143983833333333242e-03,-3.668007000000000351e-01
2.177317166666666373e-03,-3.585270000000000401e-01
2.210650499999999938e-03,-2.109793500000000099e-01
2.243983833333333070e-03,-1.392739500000000075e-01
2.277317166666666635e-03,-1.323792000000000024e-01
